PRIMARY_DIAGNOSIS|SECONDARY_DIAGNOSIS|PRIMARY_DIAGNOSIS_DESC|PRIMARY_BLOCKS_OF_CATEGORIES|SECONDARY_DIAGNOSIS_DESC|SECONDARY_BLOCKS_OF_CATEGORIES|COUNT(DISTINCTCLAIMS_ID)
R50.9|R10|fever|general symptoms and signs|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|137
R51|R10|headache ( cephalgia)|general symptoms and signs|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|31
Z30|R10|contraceptive management (kontrasepsi)|persons encountering health services in circumstances related to reproduction|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|9
J06|R09.3|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|abnormal sputum|symptoms and signs involving the circulatory and respiratory systems|44
J20|R09.3|acute bronchitis|other acute lower respiratory infections|abnormal sputum|symptoms and signs involving the circulatory and respiratory systems|6
D25|N93.9|leiomyoma of uterus/myoma uteri|benign neoplasms|abnormal uterine and vaginal bleeding|noninflammatory disorders of female genital tract|6
J00|N93.9|acute nasopharyngitis (common cold)|acute upper respiratory infections|abnormal uterine and vaginal bleeding|noninflammatory disorders of female genital tract|11
R10|N93.9|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|abnormal uterine and vaginal bleeding|noninflammatory disorders of female genital tract|23
R10.0|N93.9|acute abdomen|symptoms and signs involving the digestive system and abdomen|abnormal uterine and vaginal bleeding|noninflammatory disorders of female genital tract|11
K02|K03.1|dental caries|diseases of oral cavity, salivary glands and jaws|abration of teeth|diseases of oral cavity, salivary glands and jaws|6
S99.9|M76.6|unspecified injury of ankle and foot|injuries to the ankle and foot|achilles tendinitis|soft tissue disorders|7
J00|L11.0|acute nasopharyngitis (common cold)|acute upper respiratory infections|acquired keratossis follicularis (keratosis folicularis)|bullous disorders|6
J02|L11.0|acute pharyngitis|acute upper respiratory infections|acquired keratossis follicularis (keratosis folicularis)|bullous disorders|7
J06|L11.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|acquired keratossis follicularis (keratosis folicularis)|bullous disorders|10
L20|L11.0|atopic dermatitis|dermatitis and eczema|acquired keratossis follicularis (keratosis folicularis)|bullous disorders|13
L21|L11.0|seborrhoic dermatitis (ketombe)|dermatitis and eczema|acquired keratossis follicularis (keratosis folicularis)|bullous disorders|6
L23|L11.0|allergic contact dermatitis|dermatitis and eczema|acquired keratossis follicularis (keratosis folicularis)|bullous disorders|10
L30|L11.0|other dermatitis|dermatitis and eczema|acquired keratossis follicularis (keratosis folicularis)|bullous disorders|16
A01.0|R10.0|typhoid fever |intestinal infectious diseases|acute abdomen|symptoms and signs involving the digestive system and abdomen|20
A09|R10.0|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|acute abdomen|symptoms and signs involving the digestive system and abdomen|131
B34|R10.0|viral infection of unspecified sites|other viral diseases|acute abdomen|symptoms and signs involving the digestive system and abdomen|6
I10|R10.0|essential (primary) hypertension|hypertensive diseases|acute abdomen|symptoms and signs involving the digestive system and abdomen|6
I84|R10.0|haemorrhoids (ambein)|diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|acute abdomen|symptoms and signs involving the digestive system and abdomen|7
J00|R10.0|acute nasopharyngitis (common cold)|acute upper respiratory infections|acute abdomen|symptoms and signs involving the digestive system and abdomen|16
J02|R10.0|acute pharyngitis|acute upper respiratory infections|acute abdomen|symptoms and signs involving the digestive system and abdomen|45
J06|R10.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|acute abdomen|symptoms and signs involving the digestive system and abdomen|89
J20|R10.0|acute bronchitis|other acute lower respiratory infections|acute abdomen|symptoms and signs involving the digestive system and abdomen|7
K21.0|R10.0|gastro-oesophageal reflux disease with oesophagitis|diseases of oesophagus, stomach and duodenum|acute abdomen|symptoms and signs involving the digestive system and abdomen|12
K21.9|R10.0|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|acute abdomen|symptoms and signs involving the digestive system and abdomen|9
K29|R10.0|gastritis and duodenitis|diseases of oesophagus, stomach and duodenum|acute abdomen|symptoms and signs involving the digestive system and abdomen|6
K29.1|R10.0|other acute gastritis|diseases of oesophagus, stomach and duodenum|acute abdomen|symptoms and signs involving the digestive system and abdomen|6
K29.6|R10.0|other gastritis|diseases of oesophagus, stomach and duodenum|acute abdomen|symptoms and signs involving the digestive system and abdomen|7
K29.7|R10.0|gastritis|diseases of oesophagus, stomach and duodenum|acute abdomen|symptoms and signs involving the digestive system and abdomen|54
K30|R10.0|dyspepsia|diseases of oesophagus, stomach and duodenum|acute abdomen|symptoms and signs involving the digestive system and abdomen|150
K35|R10.0|acute appendicitis|diseases of appendix|acute abdomen|symptoms and signs involving the digestive system and abdomen|19
K59.0|R10.0|constipation (susah buang air besar)|other diseases of intestines|acute abdomen|symptoms and signs involving the digestive system and abdomen|10
K80|R10.0|cholelithiasis|disorders of gallbladder, biliary tract and pancreas|acute abdomen|symptoms and signs involving the digestive system and abdomen|11
M54.5|R10.0|low back pain (nyeri punggung)|dorsopathies|acute abdomen|symptoms and signs involving the digestive system and abdomen|14
M79.1|R10.0|myalgia (nyeri otot|soft tissue disorders|acute abdomen|symptoms and signs involving the digestive system and abdomen|13
N23|R10.0|unspecified renal colic|urolithiasis|acute abdomen|symptoms and signs involving the digestive system and abdomen|6
N30.9|R10.0|urinary tract infections |other diseases of urinary system|acute abdomen|symptoms and signs involving the digestive system and abdomen|7
N39.0|R10.0|urinary tract infection- site not specified|other diseases of urinary system|acute abdomen|symptoms and signs involving the digestive system and abdomen|32
N83|R10.0|noninflammatory disorders of ovary, fallopian tube and broad ligament|noninflammatory disorders of female genital tract|acute abdomen|symptoms and signs involving the digestive system and abdomen|7
R11|R10.0|nausea and vomiting (mual dan muntah)|symptoms and signs involving the digestive system and abdomen|acute abdomen|symptoms and signs involving the digestive system and abdomen|44
R50|R10.0|fever of unknown origin|general symptoms and signs|acute abdomen|symptoms and signs involving the digestive system and abdomen|6
R50.9|R10.0|fever|general symptoms and signs|acute abdomen|symptoms and signs involving the digestive system and abdomen|141
R51|R10.0|headache ( cephalgia)|general symptoms and signs|acute abdomen|symptoms and signs involving the digestive system and abdomen|21
A01.0|A06.0|typhoid fever |intestinal infectious diseases|acute amoebiotic dysentry|intestinal infectious diseases|7
A09|A06.0|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|acute amoebiotic dysentry|intestinal infectious diseases|83
J06|A06.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|acute amoebiotic dysentry|intestinal infectious diseases|10
K30|A06.0|dyspepsia|diseases of oesophagus, stomach and duodenum|acute amoebiotic dysentry|intestinal infectious diseases|6
R56.0|A06.0|febrile convulsions|general symptoms and signs|acute amoebiotic dysentry|intestinal infectious diseases|6
A01.0|K35|typhoid fever |intestinal infectious diseases|acute appendicitis|diseases of appendix|21
A09|K35|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|acute appendicitis|diseases of appendix|28
D25|K35|leiomyoma of uterus/myoma uteri|benign neoplasms|acute appendicitis|diseases of appendix|10
J02|K35|acute pharyngitis|acute upper respiratory infections|acute appendicitis|diseases of appendix|12
J06|K35|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|acute appendicitis|diseases of appendix|13
K21.9|K35|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|acute appendicitis|diseases of appendix|21
K29|K35|gastritis and duodenitis|diseases of oesophagus, stomach and duodenum|acute appendicitis|diseases of appendix|9
K29.7|K35|gastritis|diseases of oesophagus, stomach and duodenum|acute appendicitis|diseases of appendix|33
K30|K35|dyspepsia|diseases of oesophagus, stomach and duodenum|acute appendicitis|diseases of appendix|57
K35|K35|acute appendicitis|diseases of appendix|acute appendicitis|diseases of appendix|8
K65|K35|peritonitis|diseases of peritoneum|acute appendicitis|diseases of appendix|34
K80|K35|cholelithiasis|disorders of gallbladder, biliary tract and pancreas|acute appendicitis|diseases of appendix|17
N30.9|K35|urinary tract infections |other diseases of urinary system|acute appendicitis|diseases of appendix|7
N39.0|K35|urinary tract infection- site not specified|other diseases of urinary system|acute appendicitis|diseases of appendix|21
N83|K35|noninflammatory disorders of ovary, fallopian tube and broad ligament|noninflammatory disorders of female genital tract|acute appendicitis|diseases of appendix|14
R10|K35|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|acute appendicitis|diseases of appendix|71
R10.0|K35|acute abdomen|symptoms and signs involving the digestive system and abdomen|acute appendicitis|diseases of appendix|101
R10.4|K35|other and unspecified abdominal pain|symptoms and signs involving the digestive system and abdomen|acute appendicitis|diseases of appendix|52
R50.9|K35|fever|general symptoms and signs|acute appendicitis|diseases of appendix|20
A01.0|J21|typhoid fever |intestinal infectious diseases|acute bronchiolitis|other acute lower respiratory infections|13
A09|J21|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|acute bronchiolitis|other acute lower respiratory infections|6
J02|J21|acute pharyngitis|acute upper respiratory infections|acute bronchiolitis|other acute lower respiratory infections|12
J06|J21|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|acute bronchiolitis|other acute lower respiratory infections|25
J18.0|J21|bronchopneumonia |influenza and pneumonia|acute bronchiolitis|other acute lower respiratory infections|15
J45|J21|asthma|chronic lower respiratory diseases|acute bronchiolitis|other acute lower respiratory infections|6
R50.9|J21|fever|general symptoms and signs|acute bronchiolitis|other acute lower respiratory infections|12
A01|J20|typhoid and paratyphoid fevers|intestinal infectious diseases|acute bronchitis|other acute lower respiratory infections|6
A01.0|J20|typhoid fever |intestinal infectious diseases|acute bronchitis|other acute lower respiratory infections|225
A01.0|J20.9|typhoid fever |intestinal infectious diseases|acute bronchitis|other acute lower respiratory infections|6
A09|J20|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|acute bronchitis|other acute lower respiratory infections|128
A15|J20|respiratory tuberculosis- bacteriologically and histologically confirmed|tuberculosis|acute bronchitis|other acute lower respiratory infections|8
A15.0|J20|tuberculosis of lung|tuberculosis|acute bronchitis|other acute lower respiratory infections|58
A49|J20|bacterial infection of unspecified site|other bacterial diseases|acute bronchitis|other acute lower respiratory infections|22
A90|J20|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|acute bronchitis|other acute lower respiratory infections|56
A91|J20|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|acute bronchitis|other acute lower respiratory infections|56
B01|J20|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|acute bronchitis|other acute lower respiratory infections|6
B34|J20|viral infection of unspecified sites|other viral diseases|acute bronchitis|other acute lower respiratory infections|29
B34.9|J20|viral infection, unspecified|other viral diseases|acute bronchitis|other acute lower respiratory infections|41
E11|J20|non-insulin-dependent diabetes mellitus|diabetes mellitus|acute bronchitis|other acute lower respiratory infections|13
E13|J20|other specified diabetes mellitus|diabetes mellitus|acute bronchitis|other acute lower respiratory infections|11
E78.4|J20|other hyperlipidemia|metabolic disorders|acute bronchitis|other acute lower respiratory infections|6
E78.5|J20|hyperlipidaemia|metabolic disorders|acute bronchitis|other acute lower respiratory infections|10
H10|J20|conjunctivitis (infeksi conjunctiva)|disorders of conjunctiva|acute bronchitis|other acute lower respiratory infections|8
H82|J20|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|acute bronchitis|other acute lower respiratory infections|8
I10|J20|essential (primary) hypertension|hypertensive diseases|acute bronchitis|other acute lower respiratory infections|14
I15|J20|secondary hypertension|hypertensive diseases|acute bronchitis|other acute lower respiratory infections|20
J00|J20|acute nasopharyngitis (common cold)|acute upper respiratory infections|acute bronchitis|other acute lower respiratory infections|125
J01|J20|acute sinusitis|acute upper respiratory infections|acute bronchitis|other acute lower respiratory infections|40
J02|J20|acute pharyngitis|acute upper respiratory infections|acute bronchitis|other acute lower respiratory infections|740
J02|J20.9|acute pharyngitis|acute upper respiratory infections|acute bronchitis|other acute lower respiratory infections|16
J02.9|J20|acute pharyngitis|acute upper respiratory infections|acute bronchitis|other acute lower respiratory infections|22
J03|J20|acute tonsilitis|acute upper respiratory infections|acute bronchitis|other acute lower respiratory infections|59
J04|J20|acute laryngitis and tracheitis|acute upper respiratory infections|acute bronchitis|other acute lower respiratory infections|6
J06|J20|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|acute bronchitis|other acute lower respiratory infections|1,010
J06|J20.9|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|acute bronchitis|other acute lower respiratory infections|27
J06.8|J20|other acute upper respiratory infections of multiple sites|acute upper respiratory infections|acute bronchitis|other acute lower respiratory infections|29
J06.9|J20|acute upper respiratory infection|acute upper respiratory infections|acute bronchitis|other acute lower respiratory infections|15
J11|J20|influenza virus not identified|influenza and pneumonia|acute bronchitis|other acute lower respiratory infections|9
J18|J20|pneumonia|influenza and pneumonia|acute bronchitis|other acute lower respiratory infections|26
J18.0|J20|bronchopneumonia |influenza and pneumonia|acute bronchitis|other acute lower respiratory infections|50
J18.9|J20|pneumonia|influenza and pneumonia|acute bronchitis|other acute lower respiratory infections|7
J20|J20|acute bronchitis|other acute lower respiratory infections|acute bronchitis|other acute lower respiratory infections|7
J21|J20|acute bronchiolitis|other acute lower respiratory infections|acute bronchitis|other acute lower respiratory infections|6
J30|J20|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|acute bronchitis|other acute lower respiratory infections|62
J30.4|J20|allergic rhinitis|other diseases of upper respiratory tract|acute bronchitis|other acute lower respiratory infections|74
J31|J20|chronic rhinitis|other diseases of upper respiratory tract|acute bronchitis|other acute lower respiratory infections|60
J40|J20|bronchitis|chronic lower respiratory diseases|acute bronchitis|other acute lower respiratory infections|7
J45|J20|asthma|chronic lower respiratory diseases|acute bronchitis|other acute lower respiratory infections|245
J45|J20.9|asthma|chronic lower respiratory diseases|acute bronchitis|other acute lower respiratory infections|11
J45.9|J20|asthma|chronic lower respiratory diseases|acute bronchitis|other acute lower respiratory infections|11
K12|J20|stomatitis and related lesions|diseases of oral cavity, salivary glands and jaws|acute bronchitis|other acute lower respiratory infections|6
K21.0|J20|gastro-oesophageal reflux disease with oesophagitis|diseases of oesophagus, stomach and duodenum|acute bronchitis|other acute lower respiratory infections|15
K21.9|J20|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|acute bronchitis|other acute lower respiratory infections|28
K29.7|J20|gastritis|diseases of oesophagus, stomach and duodenum|acute bronchitis|other acute lower respiratory infections|29
K30|J20|dyspepsia|diseases of oesophagus, stomach and duodenum|acute bronchitis|other acute lower respiratory infections|84
L04|J20|acute lymphadenitis|infections of the skin and subcutaneous tissue|acute bronchitis|other acute lower respiratory infections|8
L20|J20|atopic dermatitis|dermatitis and eczema|acute bronchitis|other acute lower respiratory infections|9
L23|J20|allergic contact dermatitis|dermatitis and eczema|acute bronchitis|other acute lower respiratory infections|7
L30|J20|other dermatitis|dermatitis and eczema|acute bronchitis|other acute lower respiratory infections|9
L50|J20|urticaria/pruritus (gatal-gatal)|urticaria and erythema|acute bronchitis|other acute lower respiratory infections|8
M54.5|J20|low back pain (nyeri punggung)|dorsopathies|acute bronchitis|other acute lower respiratory infections|7
M79.1|J20|myalgia (nyeri otot|soft tissue disorders|acute bronchitis|other acute lower respiratory infections|16
N39.0|J20|urinary tract infection- site not specified|other diseases of urinary system|acute bronchitis|other acute lower respiratory infections|13
R05|J20|cough (batuk)|symptoms and signs involving the circulatory and respiratory systems|acute bronchitis|other acute lower respiratory infections|87
R06.0|J20|dyspnoe (sesak nafas )|symptoms and signs involving the circulatory and respiratory systems|acute bronchitis|other acute lower respiratory infections|10
R07.4|J20|chest pain|symptoms and signs involving the circulatory and respiratory systems|acute bronchitis|other acute lower respiratory infections|15
R11|J20|nausea and vomiting (mual dan muntah)|symptoms and signs involving the digestive system and abdomen|acute bronchitis|other acute lower respiratory infections|16
R50|J20|fever of unknown origin|general symptoms and signs|acute bronchitis|other acute lower respiratory infections|13
R50.9|J20|fever|general symptoms and signs|acute bronchitis|other acute lower respiratory infections|253
R51|J20|headache ( cephalgia)|general symptoms and signs|acute bronchitis|other acute lower respiratory infections|17
R56.0|J20|febrile convulsions|general symptoms and signs|acute bronchitis|other acute lower respiratory infections|12
Z24.0|J20|need immunization againts poliomyelitis (immunisasi polio)|persons with potential health hazards related to communicable diseases|acute bronchitis|other acute lower respiratory infections|20
J01.0|J01.2|acute maxillary sinusitis|acute upper respiratory infections|acute ethmoidal sinusitis|acute upper respiratory infections|12
J01.0|J01.1|acute maxillary sinusitis|acute upper respiratory infections|acute frontal sinusitis|acute upper respiratory infections|6
J00|K05.0|acute nasopharyngitis (common cold)|acute upper respiratory infections|acute gingivitis|diseases of oral cavity, salivary glands and jaws|15
J02|K05.0|acute pharyngitis|acute upper respiratory infections|acute gingivitis|diseases of oral cavity, salivary glands and jaws|6
J06|K05.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|acute gingivitis|diseases of oral cavity, salivary glands and jaws|6
K01.1|K05.0|impacted teeth|diseases of oral cavity, salivary glands and jaws|acute gingivitis|diseases of oral cavity, salivary glands and jaws|13
K02|K05.0|dental caries|diseases of oral cavity, salivary glands and jaws|acute gingivitis|diseases of oral cavity, salivary glands and jaws|234
K02.1|K05.0|caries of dentis|diseases of oral cavity, salivary glands and jaws|acute gingivitis|diseases of oral cavity, salivary glands and jaws|14
K03.6|K05.0|deposits (accretions) of teeth (karang gigi)|diseases of oral cavity, salivary glands and jaws|acute gingivitis|diseases of oral cavity, salivary glands and jaws|90
K04.0|K05.0|pulpitis|diseases of oral cavity, salivary glands and jaws|acute gingivitis|diseases of oral cavity, salivary glands and jaws|181
K04.1|K05.0|necrosis of pulp (pulpal ganggrene)|diseases of oral cavity, salivary glands and jaws|acute gingivitis|diseases of oral cavity, salivary glands and jaws|184
K04.7|K05.0|periapical abscess without sinus|diseases of oral cavity, salivary glands and jaws|acute gingivitis|diseases of oral cavity, salivary glands and jaws|6
K05.2|K05.0|acute periodontitis|diseases of oral cavity, salivary glands and jaws|acute gingivitis|diseases of oral cavity, salivary glands and jaws|7
K12|K05.0|stomatitis and related lesions|diseases of oral cavity, salivary glands and jaws|acute gingivitis|diseases of oral cavity, salivary glands and jaws|11
J00|K29.0|acute nasopharyngitis (common cold)|acute upper respiratory infections|acute haemorrhagic gastritis|diseases of oesophagus, stomach and duodenum|7
J02|K29.0|acute pharyngitis|acute upper respiratory infections|acute haemorrhagic gastritis|diseases of oesophagus, stomach and duodenum|20
J06|K29.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|acute haemorrhagic gastritis|diseases of oesophagus, stomach and duodenum|18
R10.0|K29.0|acute abdomen|symptoms and signs involving the digestive system and abdomen|acute haemorrhagic gastritis|diseases of oesophagus, stomach and duodenum|7
R50.9|K29.0|fever|general symptoms and signs|acute haemorrhagic gastritis|diseases of oesophagus, stomach and duodenum|6
A01.0|B15|typhoid fever |intestinal infectious diseases|acute hepatitis a|viral hepatitis|22
A90|B15|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|acute hepatitis a|viral hepatitis|6
A91|B15|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|acute hepatitis a|viral hepatitis|8
K30|B15|dyspepsia|diseases of oesophagus, stomach and duodenum|acute hepatitis a|viral hepatitis|9
A91|B16|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|acute hepatitis b|viral hepatitis|14
C22.0|B16|liver cell carcinoma (hepatoma)|malignant neoplasms|acute hepatitis b|viral hepatitis|9
E11|B16|non-insulin-dependent diabetes mellitus|diabetes mellitus|acute hepatitis b|viral hepatitis|10
E13|B16|other specified diabetes mellitus|diabetes mellitus|acute hepatitis b|viral hepatitis|8
E78.4|B16|other hyperlipidemia|metabolic disorders|acute hepatitis b|viral hepatitis|9
E78.5|B16|hyperlipidaemia|metabolic disorders|acute hepatitis b|viral hepatitis|9
I10|B16|essential (primary) hypertension|hypertensive diseases|acute hepatitis b|viral hepatitis|6
J02|B16|acute pharyngitis|acute upper respiratory infections|acute hepatitis b|viral hepatitis|6
J06|B16|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|acute hepatitis b|viral hepatitis|13
K30|B16|dyspepsia|diseases of oesophagus, stomach and duodenum|acute hepatitis b|viral hepatitis|15
K76.0|B16|fatty liver- not elsewhere classified|diseases of liver|acute hepatitis b|viral hepatitis|8
K80|B16|cholelithiasis|disorders of gallbladder, biliary tract and pancreas|acute hepatitis b|viral hepatitis|6
N18|B17.1|chronic kidney disease|renal failure|acute hepatitis c|viral hepatitis|11
J01|J04.0|acute sinusitis|acute upper respiratory infections|acute laryngitis|acute upper respiratory infections|12
J02|J04.0|acute pharyngitis|acute upper respiratory infections|acute laryngitis|acute upper respiratory infections|73
J03|J04.0|acute tonsilitis|acute upper respiratory infections|acute laryngitis|acute upper respiratory infections|6
J06|J04.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|acute laryngitis|acute upper respiratory infections|26
J20|J04.0|acute bronchitis|other acute lower respiratory infections|acute laryngitis|acute upper respiratory infections|6
J30.4|J04.0|allergic rhinitis|other diseases of upper respiratory tract|acute laryngitis|acute upper respiratory infections|6
K21.9|J04.0|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|acute laryngitis|acute upper respiratory infections|9
H61.2|J04|impacted cerumen (kotoran di telinga)|diseases of external ear|acute laryngitis and tracheitis|acute upper respiratory infections|16
J00|J04|acute nasopharyngitis (common cold)|acute upper respiratory infections|acute laryngitis and tracheitis|acute upper respiratory infections|14
J01|J04|acute sinusitis|acute upper respiratory infections|acute laryngitis and tracheitis|acute upper respiratory infections|20
J02|J04|acute pharyngitis|acute upper respiratory infections|acute laryngitis and tracheitis|acute upper respiratory infections|174
J03|J04|acute tonsilitis|acute upper respiratory infections|acute laryngitis and tracheitis|acute upper respiratory infections|13
J06|J04|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|acute laryngitis and tracheitis|acute upper respiratory infections|66
J20|J04|acute bronchitis|other acute lower respiratory infections|acute laryngitis and tracheitis|acute upper respiratory infections|11
J30|J04|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|acute laryngitis and tracheitis|acute upper respiratory infections|9
J30.4|J04|allergic rhinitis|other diseases of upper respiratory tract|acute laryngitis and tracheitis|acute upper respiratory infections|28
J31|J04|chronic rhinitis|other diseases of upper respiratory tract|acute laryngitis and tracheitis|acute upper respiratory infections|13
